English,Dutch,German,Swedish,Danish,Icelandic,Gothic,Proto-Germanic
,,-ən,,,-ja,-an,-aːnã
-ə,-ər,-ɐ ,-are,-ʌ,-aːrɪ,-ariːs,-aːrijaz
-ən,-ən,-ən,-a,-ə,-a,-an,-anã
,,,,,,-ana,-aneː
,,,,,,-assus,-assuz
-dəm,-dɔm,-tuːm,-dʊm,-dʌm,-toumʏr,,-dɔːmaz
-ðə,,,,,,,-dreːː
,,,,,,-duθs,-duːθiz
,,,,,-a,-eː,-eːː
-i,-əx,-ɪç,-ɪg,-i,-aɣʏr,-gs,-gaz
,-ɣɛns,,,,,,-gin
-g,,-kə,,,,,-gɔːː
,-ə,-ə,,,-ɪ,-iː,-ĩː
-ən,-ən,-ən,,,-ɪn,-iːns,-iːnaz
,,,,,,-iːns,-iːniz
-əl,-əl,-əl,,,-ɪtl,-ils,-ilaz
-lɪŋ,-lɪŋ,-lɪŋ,-lɪŋ,,-liŋkʏr,-liŋgs,-iliŋgaz
,,,,,,-iloː,-ilɔ̃ː
-nəs,-nɪs,-nɪs,,,,-inassus,-inassuz
-ɪŋ,-ɪŋ,-ɪŋ,-ɪŋ,-eŋ,-iŋgʏr,,-iŋgaz
-ən,-ɪn,-ɪn,-ɪnna,-enə,-ɪnja,-ini,-iniː
-ən,,,-na,-nə,-na,-inoːn,-inɔːnã
-ɪʃ,-s,-ɪʃ,-sk,-sk,-skʏr,-isks,-iskaz
-s,,,-sa,-sə,-sa,-isoːn,-isɔːnã
-st,-st,-st,,,-st,-ist,-ist
-ɪst,-st,-st,-st,-st,-sdʏr,-ists,-istaz
,-tə,-tsə,,,,,-itjã
,,,,,,-itjan,-itjanã
-ə,-ər,-ɐ ,,,-ʏr,-is,-iz
-θ,-tə,-də,-d,-də,-ð,-iθa,-iθɔː
,,,,,,-i,-jã
-i,-ən,-ən,-ja,,-ja,-an,-janã
,,,,,,-ja,-jɔːː
-ləs,-loːs,-loːs,-løːs,-løʔs,-lœʏːs,-lɔːs,-lausaz
-li,-lək,-lɪç,-lɪg,-li,-lɛːɣʏr,-liːks,-liːkaz
-əl,-ələn,-əln,-la,-lə,-la,,-lɔːnã
,,,-ma,-mə,,-ma,-mɔːː
-ən,,,-na,-nə,-na,-nan,-nanã
-ənd,,-ənt,-ɛndɛ,-ənə,-antɪ,-nds,-ndz
,,,-a,,-a,-oː,-ɔ̃ː
,,-ə,-a,-ə,-ɪ,-a,-ɔːː
