English,Dutch,German,Swedish,Danish,Icelandic,Gothic,Proto-Germanic
-en,-en,-en,-a,-e,-a,-𐌰𐌽,-aną
,,-en,,,-ja,-𐌰𐌽,-āną
,,,,,,-𐌰𐌽𐌰,-anē
-er,-er,-er,-are,-er,-ari,-𐌰𐍂𐌴𐌹𐍃,-ārijaz
,,,,,,-𐌰𐍃𐍃𐌿𐍃,-assuz
-dom,-dom,-tum,-dom,-dom,-dómur,,-dōmaz
-ther,,,,,,,-drê
,,,,,,-𐌳𐌿𐌸𐍃,-dūþiz
,,,,,-a,-𐌴,-ê
-fold,-voud,-falt,-fald,-fold,-faldur,-𐍆𐌰𐌻𐌸𐍃,-falþaz
-y,-ig,-ig,-ig,-ig,-agur,-𐌲𐍃,-gaz
,-gens,,,,,,-gin
-g,-g,-ke,,,,,-gô
,,,,,,-𐌷𐌿𐌽,-hun
,,,,,,-𐌿𐌷,-hw
,-e,-e,,,-i,-𐌴𐌹,-į̄
-le,-il,-el,,,-ill,-𐌹𐌻𐍃,-ilaz
-ling,-ling,-ling,-ling,,-lingur,-𐌻𐌹𐌲𐌲𐍃,-ilingaz
,,,,,,-𐌹𐌻𐍉,-ilǭ
-ness,-nis,-nis,,,,-𐌹𐌽𐌰𐍃𐍃𐌿𐍃,-inassuz
-en,-en,-en,,,-inn,-𐌴𐌹𐌽𐍃,-īnaz
-ing,-ing,-ing,-ing,-ing,-ingur,,-ingaz
-en,-in,-in,-inna,-inde,-ynja,-𐌹𐌽𐌹,-inī
,,,,,,-𐌴𐌹𐌽𐍃,-īniz
-en,,,-na,-ne,-na,-𐌹𐌽𐍉𐌽,-inōną
-esque,-s,-isch,-sk,-sk,-skur,-𐌹𐍃𐌺𐍃,-iskaz
-se,,,-sa,-se,-sa,-𐌹𐍃𐍉𐌽,-isōną
-st,-st,-st,,,-st,-𐌹𐍃𐍄,-ist
-est,-st,-st,-st,-st,-stur,-𐌹𐍃𐍄𐍃,-istaz
,-te,-ze,,,,,-itją
,,,,,,-𐌹𐍄𐌾𐌰𐌽,-itjaną
-er,-er,-er,,,-ur,-𐌹𐍃,-iz
-th,-te,-de,-d,-de,-ð,-𐌹𐌸𐌰,-iþō
,,,,,,-𐌹,-ją
-y,-en,-en,-ja,,-ja,-𐌰𐌽,-janą
,,,,,,-𐌾𐌰,-jô
-less,-loos,-los,-lös,-løs,-laus,-𐌻𐌰𐌿𐍃,-lausaz
-ly,-lijk,-lich,-lig,-lig,-legur,-𐌻𐌴𐌹𐌺𐍃,-līkaz
-le,-elen,-eln,-la,-le,-la,,-lōną
,,,-ma,-me,,𐌰𐌷𐌼𐌰,-mô
-en,,,-na,-ne,-na,-𐌽𐌰𐌽,-naną
-and,,-end,-ande,-ende,-andi,-𐌽𐌳𐍃,-ndz
,,-e,-a,-e,-i,-𐌰,-ô
,,,-a,,-a,-𐍉,-ǭ
-ed,ge- -d,ge- -t,-d,-et,-aður,-𐍉𐌸𐍃,-ōdaz
-en,-en,-en,-a,-e,-a,-𐍉𐌽,-ōną
,,,-an,,-an,-𐍉𐌽𐍃,-ōniz
-est,-st,-st,-ast,-est,-astur,-𐍉𐍃𐍄𐍃,-ōstaz
-er,-er,-er,-are,-ere,-ari,-𐍉𐌶𐌰,-ōzô
,,,,,,-𐍉𐌸𐌿𐍃,-ōþuz
,,,,,-ur,-𐍂𐍃,-raz
-some,-zaam,-sam,-sam,-som,-samur,-𐍃𐌰𐌼𐍃,-samaz
-ship,-schap,-schaft,-skap,-skab,-skapur,,-skapiz
,,,,,,-𐌰𐍃𐌽𐌰,-snō
-ock,,-ich,,,,-𐌿𐌺𐍃,-ukaz
-le,,,,,,-𐌿𐌻𐍃,-ulaz
,,,,,,-𐌿𐌱𐌽𐌹,-umnijō
-most,,,,,,-𐌿𐌼𐌰,-umô
-ing,-ing,-ung,-ing,-ing,-ing,,-ungō
,,,,,-vetur,-𐍅𐌹𐌽𐍄𐍂𐌿𐍃,-wintruz
-th,-d,-d,-d,-d,-ður,-𐌸𐍃,-þiz
,,,-der,,-ður,-𐌸𐍂,-þrą
-th,-t,-de,-d,-d,-ður,-𐌸𐌿𐍃,-þuz
,,,,,,-𐌸𐍅𐌰,-þwō
of,af,ab,av,af,af,𐌰𐍆,ab
,,,,,af-,𐌰𐍆-,aba-
,afgeven,abgeben,,,,𐌰𐍆𐌲𐌹𐌱𐌰𐌽,abagebaną
offhand,afhandig,,avhända,,afhendur,,abahandijaz
offlay,afleggen,ablegen,,,afleggja,𐌰𐍆𐌻𐌰𐌲𐌾𐌰𐌽,abalagjaną
,afnemen,abnehmen,,,afnema,𐌰𐍆𐌽𐌹𐌼𐌰𐌽,abanemaną
,,,,,efsa,,abisjaną
ebb,eb,ebbe,ävja,,efja,,abjǭ
,,,ämne,evne,efni,,abniją
,,,ämna,evne,efna,,abnijaną
,,,,,afi,𐌰𐌱𐌰,abô
,,,,,afar,𐌰𐌱𐍂𐍃,abraz
,,äbich,avig,avet,öfugur,𐌹𐌱𐌿𐌺𐍃,abuhaz
,,,avund,avind,öfund,,abundiz
addle,aal,adel,adel,adel,,,adalaz
adze,,,,,,,adisô
,,aber,,,,𐌰𐍆𐌰𐍂,aferą
,aver,,,,,𐌰𐍆𐌰𐍂𐌰,aferô
,,,avel,avl,afl,,aflą
,,,,,afl,,aflaz
,,,,avle,afla,,aflōną
,,,,,,𐌰𐍆𐍄𐌰,aftai
,,,,,aftan,𐌰𐍆𐍄𐌰𐌽𐌰,aftanē
after,achter,after,efter,efter,eftir,,after
,,,,,,𐌰𐍆𐍄𐌰𐍂𐍉,afteraz
,,,åter,atter,aftur,𐌰𐍆𐍄𐍂𐌰,aftrą
,,,,,,𐌰𐍆𐍄𐌿𐌼𐌰,aftumô
,,,,,,𐌰𐌲𐌻𐌰𐌹𐍄𐌴𐌹,agalaitį̄
,,,,,,𐌰𐌲𐌻𐌰𐌹𐍄𐌹,agalaitiją
,,,,,,𐍉𐌲𐌰𐌽,aganą
awe,,,aga,ave,agi,𐌰𐌲𐌹𐍃,agaz
,,,egil,eigil,egill,,agilaz
edge,egge,ecke,egg,æg,egg,,agjō
edge,eggen,,,,eggja,,agjōną
,,,,,eggsteinn,,agjōstainaz
,,,,,,𐌰𐌲𐌻𐍃,aglaz
ail,,,,,,𐌰𐌲𐌻𐌾𐌰𐌽,aglijaną
ail,,,,,,𐌰𐌲𐌻𐌿𐍃,agluz
eagre,agger,,,,,,agraz
awn,,agen,agn,avne,ögn,𐌰𐌷𐌰𐌽𐌰,ahanō
ear,aar,ähre,,,,𐌰𐌷𐍃,ahaz
,,,,,,𐌰𐌷𐌾𐌰𐌽,ahjaną
axle,assel,achsel,axel,aksel,öxl,,ahslō
,as,achse,,,,,ahsō
eight,acht,acht,åtta,otte,átta,𐌰𐌷𐍄𐌰𐌿,ahtōu
eighteen,achttien,achtzehn,aderton,atten,átján,,ahtōutehun
eighty,tachtig,achtzig,,,,𐌰𐌷𐍄𐌰𐌿𐍄𐌴𐌷𐌿𐌽𐌳,ahtōutēhundą
eighth,,achte,åttonde,ottende,áttundi,𐌰𐌷𐍄𐌿𐌳𐌰,ahtudô
eddy,a,ach,å,å,á,𐌰𐍈𐌰,ahwō
